
sn,antenna,azimuth,channel,drone_x,drone_y,drone_z,elevation,mac,peer_mac,peer_mac_1,peer_mac_2,rssi,time
,0,0,8,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-58,2025-06-28T11:00:05.9433661Z
,0,0,0,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.0426359Z
,0,0,27,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.105225Z
,0,1,1,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.1899658Z
,0,1,17,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-58,2025-06-28T11:00:06.2417561Z
,0,1,34,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.2974269Z
,0,1,32,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.346469Z
,0,1,24,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-59,2025-06-28T11:00:06.39683Z
,0,1,30,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-58,2025-06-28T11:00:06.4435613Z
,0,0,6,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.4954988Z
,0,0,21,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-58,2025-06-28T11:00:06.5478854Z
,0,0,8,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-58,2025-06-28T11:00:06.5965917Z
,0,0,3,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.6522609Z
,0,0,25,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-58,2025-06-28T11:00:06.6939872Z
,0,0,35,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.7500068Z
,0,0,23,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-56,2025-06-28T11:00:06.7974452Z
,0,0,17,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.8494424Z
,0,0,36,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.8912782Z
,0,0,23,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-56,2025-06-28T11:00:06.9483465Z
,0,0,15,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:06.9918145Z
,0,0,4,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:07.0527907Z
,0,0,25,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-58,2025-06-28T11:00:07.0950923Z
,0,0,32,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:07.1537959Z
,0,0,4,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:07.1943532Z
,0,0,6,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:07.2466341Z
,0,1,3,0,-0.6,-0.72,-51,20BA3608EF66,20BA36977463,,,-57,2025-06-28T11:00:07.2881226Z
