Drone_X,Drone_Y,Drone_Z,Anchor1_Azimuth,Anchor1_Elevation,Anchor1_RSSI,Anchor2_Azimuth,Anchor2_Elevation,Anchor2_RSSI,Intersection_X,Intersection_Y,Intersection_Z
0.0,-0.6,-0.72,0.0,-51.0,-58,53.0,2.0,-86,0.40983560082344983,-1.1235340157844436,0.32531563837415545
0.0,-0.6,-0.72,0.0,-51.0,-57,54.0,5.0,-80,0.4287940579325791,-1.029853174261488,0.1948288220920112
0.0,-0.6,-0.72,0.0,-51.0,-57,54.0,4.0,-84,0.4155512858129833,-1.054097923901214,0.23499583497071386
0.0,-0.6,-0.72,1.0,-51.0,-57,55.0,2.0,-81,0.3612659544202364,-1.0819591048262982,0.30753549047645645
0.0,-0.6,-0.72,1.0,-51.0,-58,56.0,2.0,-88,0.341541445183172,-1.059973303968207,0.2995837898751991
0.0,-0.6,-0.72,1.0,-51.0,-57,57.00000000000001,2.0,-82,0.3223491401003294,-1.0370686874653259,0.2913261541012578
0.0,-0.6,-0.72,1.0,-51.0,-57,58.00000000000001,-1.0,-86,0.2649777592864747,-1.0829871804633235,0.41397843228371556
0.0,-0.6,-0.72,1.0,-51.0,-59,59.00000000000001,2.0,-83,0.2855848230524837,-0.9886583955678635,0.2739440321356982
0.0,-0.6,-0.72,1.0,-51.0,-58,59.99999999999999,2.0,-87,0.2680226894952348,-0.9632280840432987,0.2648442803123553
0.0,-0.6,-0.72,0.0,-51.0,-57,61.0,1.0,-87,0.246394949827746,-0.9578536805310665,0.2997211408778775
0.0,-0.6,-0.72,0.0,-51.0,-58,62.0,0.0,-81,0.21876709544425132,-0.9510461728656956,0.3331784059681508
0.0,-0.6,-0.72,0.0,-51.0,-58,61.0,0.0,-85,0.23478642026591556,-0.9790727640861877,0.3429969145263922
0.0,-0.6,-0.72,0.0,-51.0,-57,61.0,0.0,-88,0.23478642026591556,-0.9790727640861877,0.3429969145263922
0.0,-0.6,-0.72,0.0,-51.0,-58,61.0,-2.0,-80,0.21195300174640375,-1.0218940663467075,0.43167460880135783
0.0,-0.6,-0.72,0.0,-51.0,-57,57.00000000000001,-4.0,-82,0.2546663851990225,-1.1798038484594604,0.5620727749769059
0.0,-0.6,-0.72,0.0,-51.0,-56,58.00000000000001,-5.0,-84,0.22555284512799356,-1.1760603173123405,0.6003651900207305
0.0,-0.6,-0.72,0.0,-51.0,-57,58.00000000000001,-5.0,-82,0.22555284512799356,-1.1760603173123405,0.6003651900207305
0.0,-0.6,-0.72,0.0,-51.0,-57,59.00000000000001,-7.0,-87,0.18649824449088004,-1.193822201807767,0.6877799278925286
0.0,-0.6,-0.72,0.0,-51.0,-56,59.99999999999999,-8.0,-80,0.16083652731354148,-1.185661357929135,0.7267117612318451
0.0,-0.6,-0.72,0.0,-51.0,-57,59.99999999999999,-9.0,-82,0.15020889156709316,-1.2086724892341434,0.7770867799499496
0.0,-0.6,-0.72,0.0,-51.0,-57,59.99999999999999,-8.0,-83,0.16083652731354148,-1.185661357929135,0.7267117612318451
0.0,-0.6,-0.72,0.0,-51.0,-58,61.0,-5.0,-87,0.17876016503458736,-1.0870662162824998,0.5701712347319559
0.0,-0.6,-0.72,0.0,-51.0,-57,61.0,-6.000000000000001,-82,0.16800869888117131,-1.1090327036045744,0.6178409437112512
0.0,-0.6,-0.72,0.0,-51.0,-57,62.0,-8.0,-82,0.1338766041088113,-1.1204081596385367,0.7040324544480151
0.0,-0.6,-0.72,0.0,-51.0,-57,62.0,-9.0,-81,0.12410132495284265,-1.1420242754808485,0.7536692967679159
0.0,-0.6,-0.72,1.0,-51.0,-57,62.0,-9.0,-82,0.11096211192095183,-1.1460475914245511,0.7558708158280868
0.0,-0.6,-0.72,1.0,-51.0,-58,62.0,-10.0,-81,0.1007732308463843,-1.168157990420811,0.8067380962104136
0.0,-0.6,-0.72,0.0,-51.0,-56,63.0,-11.0,-86,0.09408069317636447,-1.1500637098131807,0.8423024830077017
0.0,-0.6,-0.72,0.0,-51.0,-57,64.0,-9.0,-89,0.10061541497410253,-1.073440270214268,0.7293375022996056
0.0,-0.6,-0.72,0.0,-51.0,-58,65.0,-9.0,-86,0.08984255982325906,-1.038518326566352,0.7168715909132705
0.0,-0.6,-0.72,1.0,-51.0,-57,65.0,-9.0,-84,0.07733466533056778,-1.0421425919199978,0.7190756166973893
0.0,-0.6,-0.72,1.0,-51.0,-57,66.0,-8.0,-89,0.07601990485763045,-0.9872365821462765,0.6578090544535087
0.0,-0.6,-0.72,1.0,-51.0,-57,67.0,-5.0,-80,0.09221805811366751,-0.8955658645251193,0.5041036041638347
0.0,-0.6,-0.72,1.0,-51.0,-57,67.0,-5.0,-87,0.09221805811366751,-0.8955658645251193,0.5041036041638347
0.0,-0.6,-0.72,0.0,-51.0,-58,66.0,-5.0,-83,0.11322547332110977,-0.9269154519945484,0.5149894731067148
0.0,-0.6,-0.72,0.0,-51.0,-57,66.0,-6.000000000000001,-81,0.10446816616198618,-0.9459295594417909,0.5614032864445153
0.0,-0.6,-0.72,0.0,-51.0,-57,67.0,-7.0,-80,0.08555148496745613,-0.9304557752553181,0.5962585452004882
