drone_x,drone_y,drone_z,peer_mac,avg_real_azimuth,avg_experimental_azimuth,avg_real_elevation,avg_experimental_elevation,mean_azimuth_error,mean_elevation_error
0.0,-6.6,-0.72,20BA36977463,0.0,2.385633270321361,-6.225829064425769,-2.6975425330812857,2.4045368620037806,3.5437749386877613
0.0,-6.6,-0.72,20BA369AFC6B,24.443954780416533,9.204044117647058,-5.671601372097208,12.931985294117647,15.239910662769475,18.603586666214852
0.0,-6.0,-0.72,20BA36977463,0.0,-0.7744034707158352,-6.84277341263094,-4.668112798264642,1.3253796095444685,2.4103786583166675
0.0,-6.0,-0.72,20BA369AFC6B,26.565051177078,14.60485651214128,-6.1261756949143225,-15.055187637969095,11.960194664936724,8.929011943054771
0.0,-5.4,-0.72,20BA36977463,0.0,-0.2730496453900709,-7.594643368591446,-6.340425531914893,1.3829787234042554,1.6697570855618318
0.0,-5.4,-0.72,20BA369AFC6B,29.05460409907715,22.845762711864406,-6.648073478457561,9.710169491525424,6.425536452416367,16.358242969982985
0.0,-4.8,-0.72,20BA36977463,0.0,1.7240204429301533,-8.530765609948133,-7.240204429301533,1.8228279386712096,1.3033512151284228
0.0,-4.8,-0.72,20BA369AFC6B,32.00538320808349,34.445692883895134,-7.249079687709111,5.792134831460674,3.1207325260379957,13.041214519169786
0.0,-4.2,-0.72,20BA36977463,0.0,0.4218487394957983,-9.727578551401603,-6.290756302521008,0.5798319327731093,3.445979272362894
0.0,-4.2,-0.72,20BA369AFC6B,35.537677791974374,33.56193895870736,-7.941352033462358,-1.1938958707360863,3.276524976772501,7.4314919083203765
0.0,-3.6,-0.72,20BA36977463,0.0,0.6429752066115703,-11.309932474020213,-9.411570247933884,0.6760330578512397,1.9006434410482456
0.0,-3.6,-0.72,20BA369AFC6B,39.80557109226518,5.036429872495447,-8.734861486585647,1.6247723132969034,34.769141219769736,10.487496043265175
0.0,-3.0,-0.72,20BA36977463,0.0,1.0237226277372262,-13.495733280795811,-10.917883211678832,1.0237226277372262,2.577850069116979
0.0,-3.0,-0.72,20BA369AFC6B,45.0,55.97341513292434,-9.6316519614038,14.537832310838446,10.973415132924336,24.169484272242247
0.0,-2.4,-0.72,20BA36977463,0.0,0.8491525423728814,-16.69924423399362,-14.433898305084746,0.8728813559322034,2.265345928908875
0.0,-2.4,-0.72,20BA369AFC6B,51.34019174590989,51.236363636363635,-10.614591467407536,-4.425,1.8855655007087613,6.189591467407536
0.0,-1.8,-0.72,20BA36977463,0.0,1.0550918196994992,-21.80140948635181,-19.330550918196995,1.0651085141903172,2.4708585681548167
0.0,-1.8,-0.72,20BA369AFC6B,59.03624346792648,61.2568093385214,-11.62901399521606,-8.690661478599221,2.4759135234846004,3.0370120347966894
0.0,-1.2,-0.72,20BA36977463,0.0,0.9824253075571178,-30.96375653207352,-29.548330404217925,0.9824253075571178,1.415426127855595
0.0,-1.2,-0.72,20BA369AFC6B,68.19859051364818,59.794561933534744,-12.562228295302136,22.800604229607252,8.44516729260958,35.362832524909386
0.0,-0.6,-0.72,20BA36977463,0.0,0.045787545787545784,-50.19442890773481,-50.85897435897436,0.045787545787545784,0.7193843739339824
0.0,-0.6,-0.72,20BA369AFC6B,78.69006752597979,65.89460154241645,-13.242976219823511,-1.1362467866323906,12.795465983563332,12.10672943319112
0.6,-6.6,-0.72,20BA36977463,-5.194428907734789,0.5053191489361702,-6.200460431736469,-3.4893617021276597,5.699748056670959,3.3768994336985214
0.6,-6.6,-0.72,20BA369AFC6B,19.98310652189997,4.318982387475538,-5.853678490703383,-2.7455968688845402,15.664124134424432,3.4367474268961278
0.6,-6.0,-0.72,20BA36977463,-5.710593137499643,0.22826086956521738,-6.809133658307788,11.072463768115941,5.938854007064861,17.881597426423728
0.6,-6.0,-0.72,20BA369AFC6B,21.801409486351815,2.3988095238095237,-6.357515056182176,-5.587301587301587,19.402599962542293,2.177831861958981
0.6,-5.4,-0.72,20BA36977463,-6.3401917459099195,-3.7784200385356455,-7.548729802148626,-4.770712909441233,2.5974475871237575,2.779755891543044
